rank,city,population,latitude,longitude
1,New York city,8175133,40.71455,-74.007124
2,Los Angeles city,3792621,34.05349,-118.245323
3,Chicago city,2695598,41.8781, -87.6298
4,Houston city,2099451,29.7604, -95.3698
5,Philadelphia city,1526006,39.9526, -75.1652
6,Phoenix city,1445632,33.4484, -112.0740
7,San Antonio city,1327407,29.4241, -98.4936
8,San Diego city,1307402,32.7157, -117.1611
9,Dallas city,1197816,32.7767, -96.7970
10,San Jose city,945942,37.3382, -121.8863
11,Jacksonville city,821784,30.3322, -81.6557
12,Indianapolis city,820445,39.7684, -86.1581
13,Austin city,790390,30.2672, -97.7431
14,San Francisco city,805235,37.7749, -122.4194
15,Columbus city,787033,39.9612, -82.9988
16,Fort Worth city,741206,32.7555, -97.3308
17,Charlotte city,731424,35.2271, -80.8431
18,Detroit city,713777,42.3314, -83.0458
19,El Paso city,649121,31.7619, -106.4850
20,Memphis city,646889,35.1495, -90.0490
21,Boston city,617594,42.3601, -71.0589
22,Seattle city,608660,47.6062, -122.3321
23,Denver city,600158,39.7392, -104.9903
24,Baltimore city,620961,39.2904, -76.6122
25,Washington city,601723,38.9072, -77.0369
26,Nashville city,601222,36.1627, -86.7816
27,Louisville city,597337,38.2527, -85.7585
28,Milwaukee city,594833,43.0389, -87.9065
29,Portland city,583776,45.5152, -122.6784
30,Oklahoma City city,579999,35.4676, -97.5164
31,Las Vegas city,583756,36.1699, -115.1398
32,Albuquerque city,545852,35.0844, -106.6504
33,Tucson city,520116,32.2226, -110.9747
34,Fresno city,494665,36.7378, -119.7871
35,Sacramento city,466488,38.5816, -121.4944
36,Long Beach city,462257,33.7701, -118.1937
37,Kansas City city,459787,39.0997, -94.5786
38,Mesa city,439041,33.4151, -111.8315
39,Virginia Beach city,437994,36.8529, -75.9780
40,Atlanta city,420003,33.7490, -84.3880
41,Colorado Springs city,416427,38.8339, -104.8214
42,Raleigh city,416427,35.7796, -78.6382
43,Omaha city,408958,41.2565, -95.9345
44,Miami city,399457,25.7617, -80.1918
45,Oakland city,390724,37.8044, -122.2711
46,Tulsa city,391906,36.1540, -95.9928
47,Minneapolis city,382578,44.9778, -93.2650
48,Cleveland city,390113,41.4993, -81.6944
49,Wichita city,382368,37.6872, -97.3301
50,New Orleans city,343829,29.9511, -90.0715
